Stepgroup Label,Stepgroup Loop,Group,Bidder Group,auctionPrice,highBid,myProfit,newBids,numBidders,rPrice,secondBid
rprice,48,,S.1,36,47,36,a:7:{i:0;d:47;i:1;d:36;i:2;d:6;i:3;d:3;i:4;d:2;i:5;d:0;i:6;d:0;},7,32,36
rprice,49,,S.1,10,11,10,a:4:{i:0;d:11;i:1;d:8;i:2;d:8;i:3;d:0;},4,10,8
rprice,50,,S.1,66,100,66,a:10:{i:0;d:100;i:1;d:66;i:2;d:47;i:3;d:34;i:4;d:24;i:5;d:12;i:6;d:5;i:7;d:1;i:8;d:0;i:9;d:0;},10,15,66
rprice,51,,S.1,2,9,2,a:1:{i:0;d:9;},1,2,0
rprice,52,,S.1,47,51,47,a:7:{i:0;d:51;i:1;d:47;i:2;d:37;i:3;d:16;i:4;d:3;i:5;d:1;i:6;d:0;},7,23,47
rprice,53,,S.1,9,23,9,a:4:{i:0;d:23;i:1;d:2;i:2;d:1;i:3;d:0;},4,9,2
rprice,54,,S.1,47,49,47,a:10:{i:0;d:49;i:1;d:47;i:2;d:29;i:3;d:22;i:4;d:17;i:5;d:13;i:6;d:5;i:7;d:3;i:8;d:0;i:9;d:0;},10,34,47
rprice,55,,S.1,0,1,0,a:1:{i:0;d:1;},1,2,0
rprice,56,,S.1,9,27,9,a:4:{i:0;d:27;i:1;d:9;i:2;d:1;i:3;d:0;},4,9,9
rprice,57,,S.1,50,100,50,a:10:{i:0;d:100;i:1;d:49;i:2;d:29;i:3;d:22;i:4;d:21;i:5;d:9;i:6;d:6;i:7;d:4;i:8;d:1;i:9;d:1;},10,50,49
rprice,58,,S.1,36,44,36,a:4:{i:0;d:44;i:1;d:36;i:2;d:34;i:3;d:0;},4,10,36
rprice,59,,S.1,0,0,0,a:1:{i:0;d:0;},1,2,0
rprice,60,,S.1,57,91,57,a:10:{i:0;d:91;i:1;d:57;i:2;d:5;i:3;d:1;i:4;d:0;i:5;d:0;i:6;d:0;i:7;d:0;i:8;d:0;i:9;d:0;},10,34,57
rprice,1,,S.10,5,11,5,a:1:{i:0;d:11;},1,5,0
rprice,2,,S.10,83,88,83,a:4:{i:0;d:88;i:1;d:83;i:2;d:57;i:3;d:10;},4,10,83
rprice,3,,S.10,30,83,30,a:7:{i:0;d:83;i:1;d:13;i:2;d:7;i:3;d:6;i:4;d:2;i:5;d:1;i:6;d:0;},7,30,13
rprice,4,,S.10,80,88,80,a:7:{i:0;d:88;i:1;d:80;i:2;d:70;i:3;d:53;i:4;d:6;i:5;d:1;i:6;d:0;},7,25,80
rprice,5,,S.10,16,19,16,a:4:{i:0;d:19;i:1;d:7;i:2;d:1;i:3;d:0;},4,16,7
rprice,6,,S.10,75,88,75,a:7:{i:0;d:88;i:1;d:75;i:2;d:61;i:3;d:51;i:4;d:6;i:5;d:0;i:6;d:0;},7,20,75
rprice,7,,S.10,73,97,73,a:10:{i:0;d:97;i:1;d:73;i:2;d:53;i:3;d:36;i:4;d:33;i:5;d:12;i:6;d:7;i:7;d:7;i:8;d:4;i:9;d:1;},10,30,73
rprice,8,,S.10,14,39,14,a:4:{i:0;d:39;i:1;d:5;i:2;d:0;i:3;d:0;},4,14,5
rprice,9,,S.10,13,39,13,a:4:{i:0;d:39;i:1;d:5;i:2;d:0;i:3;d:0;},4,13,5
rprice,10,,S.10,0,1,0,a:1:{i:0;d:1;},1,4,0
rprice,11,,S.10,15,53,15,a:4:{i:0;d:53;i:1;d:15;i:2;d:3;i:3;d:1;},4,8,15
rprice,12,,S.10,3,21,3,a:1:{i:0;d:21;},1,3,0
rprice,13,,S.10,27,75,27,a:7:{i:0;d:75;i:1;d:25;i:2;d:1;i:3;d:0;i:4;d:0;i:5;d:0;i:6;d:0;},7,27,25
rprice,14,,S.10,49,53,49,a:10:{i:0;d:53;i:1;d:49;i:2;d:44;i:3;d:42;i:4;d:36;i:5;d:25;i:6;d:19;i:7;d:0;i:8;d:0;i:9;d:0;},10,34,49
rprice,15,,S.10,2,44,2,a:1:{i:0;d:44;},1,2,0
rprice,16,,S.10,23,39,23,a:4:{i:0;d:39;i:1;d:23;i:2;d:13;i:3;d:4;},4,13,23
rprice,17,,S.10,78,80,78,a:4:{i:0;d:80;i:1;d:78;i:2;d:26;i:3;d:17;},4,16,78
rprice,18,,S.10,36,47,36,a:4:{i:0;d:47;i:1;d:36;i:2;d:5;i:3;d:3;},4,16,36
rprice,19,,S.10,1,39,1,a:1:{i:0;d:39;},1,1,0
rprice,20,,S.10,80,88,80,a:7:{i:0;d:88;i:1;d:80;i:2;d:70;i:3;d:53;i:4;d:6;i:5;d:1;i:6;d:0;},7,28,80
rprice,21,,S.10,40,53,40,a:10:{i:0;d:53;i:1;d:39;i:2;d:34;i:3;d:29;i:4;d:16;i:5;d:12;i:6;d:9;i:7;d:8;i:8;d:1;i:9;d:0;},10,40,39
rprice,22,,S.10,51,97,51,a:10:{i:0;d:97;i:1;d:51;i:2;d:44;i:3;d:34;i:4;d:31;i:5;d:25;i:6;d:2;i:7;d:0;i:8;d:0;i:9;d:0;},10,46,51
rprice,23,,S.10,73,100,73,a:4:{i:0;d:100;i:1;d:73;i:2;d:57;i:3;d:10;},4,18,73
rprice,24,,S.10,68,80,68,a:10:{i:0;d:80;i:1;d:68;i:2;d:59;i:3;d:41;i:4;d:19;i:5;d:10;i:6;d:1;i:7;d:1;i:8;d:0;i:9;d:0;},10,60,68
rprice,25,,S.10,26,88,26,a:4:{i:0;d:88;i:1;d:26;i:2;d:15;i:3;d:3;},4,20,26
rprice,26,,S.10,64,86,64,a:10:{i:0;d:86;i:1;d:64;i:2;d:59;i:3;d:11;i:4;d:5;i:5;d:4;i:6;d:2;i:7;d:1;i:8;d:1;i:9;d:0;},10,50,64
rprice,27,,S.10,20,55,20,a:4:{i:0;d:55;i:1;d:9;i:2;d:6;i:3;d:4;},4,20,9
rprice,28,,S.10,27,78,27,a:4:{i:0;d:78;i:1;d:27;i:2;d:15;i:3;d:1;},4,27,27
rprice,29,,S.10,70,83,70,a:10:{i:0;d:83;i:1;d:70;i:2;d:66;i:3;d:44;i:4;d:41;i:5;d:34;i:6;d:30;i:7;d:19;i:8;d:8;i:9;d:4;},10,40,70
rprice,30,,S.10,0,49,0,a:7:{i:0;d:49;i:1;d:46;i:2;d:33;i:3;d:20;i:4;d:13;i:5;d:4;i:6;d:0;},7,56,46
rprice,31,,S.10,64,83,64,a:7:{i:0;d:83;i:1;d:64;i:2;d:64;i:3;d:53;i:4;d:31;i:5;d:10;i:6;d:7;},7,48,64
rprice,32,,S.10,1,42,1,a:1:{i:0;d:42;},1,1,0
rprice,33,,S.10,57,73,57,a:7:{i:0;d:73;i:1;d:41;i:2;d:11;i:3;d:2;i:4;d:1;i:5;d:1;i:6;d:0;},7,57,41
rprice,34,,S.10,67,91,67,a:10:{i:0;d:91;i:1;d:55;i:2;d:41;i:3;d:36;i:4;d:11;i:5;d:3;i:6;d:3;i:7;d:1;i:8;d:1;i:9;d:1;},10,67,55
rprice,35,,S.10,0,53,0,a:10:{i:0;d:53;i:1;d:49;i:2;d:44;i:3;d:42;i:4;d:36;i:5;d:25;i:6;d:19;i:7;d:0;i:8;d:0;i:9;d:0;},10,78,49
rprice,36,,S.10,91,97,91,a:10:{i:0;d:97;i:1;d:91;i:2;d:21;i:3;d:10;i:4;d:2;i:5;d:2;i:6;d:1;i:7;d:1;i:8;d:1;i:9;d:0;},10,67,91
rprice,37,,S.10,79,97,79,a:10:{i:0;d:97;i:1;d:51;i:2;d:44;i:3;d:34;i:4;d:31;i:5;d:25;i:6;d:2;i:7;d:0;i:8;d:0;i:9;d:0;},10,79,51
rprice,38,,S.10,51,55,51,a:4:{i:0;d:55;i:1;d:51;i:2;d:44;i:3;d:1;},4,37,51
rprice,39,,S.10,45,47,45,a:4:{i:0;d:47;i:1;d:23;i:2;d:1;i:3;d:0;},4,45,23
rprice,40,,S.10,0,47,0,a:7:{i:0;d:47;i:1;d:11;i:2;d:6;i:3;d:1;i:4;d:1;i:5;d:0;i:6;d:0;},7,78,11
rprice,41,,S.10,56,94,56,a:7:{i:0;d:94;i:1;d:55;i:2;d:44;i:3;d:25;i:4;d:13;i:5;d:3;i:6;d:0;},7,56,55
rprice,42,,S.10,34,39,34,a:4:{i:0;d:39;i:1;d:23;i:2;d:13;i:3;d:4;},4,34,23
rprice,43,,S.10,88,100,88,a:7:{i:0;d:100;i:1;d:88;i:2;d:70;i:3;d:31;i:4;d:22;i:5;d:5;i:6;d:0;},7,56,88
rprice,44,,S.10,78,97,78,a:10:{i:0;d:97;i:1;d:78;i:2;d:53;i:3;d:49;i:4;d:47;i:5;d:34;i:6;d:26;i:7;d:1;i:8;d:0;i:9;d:0;},10,78,78
rprice,45,,S.10,31,41,31,a:4:{i:0;d:41;i:1;d:31;i:2;d:14;i:3;d:5;},4,23,31
rprice,46,,S.10,83,88,83,a:4:{i:0;d:88;i:1;d:83;i:2;d:57;i:3;d:10;},4,45,83
rprice,47,,S.10,56,88,56,a:4:{i:0;d:88;i:1;d:26;i:2;d:15;i:3;d:3;},4,56,26
rprice,48,,S.10,78,83,78,a:7:{i:0;d:83;i:1;d:64;i:2;d:64;i:3;d:53;i:4;d:31;i:5;d:10;i:6;d:7;},7,78,64
rprice,49,,S.10,89,97,89,a:10:{i:0;d:97;i:1;d:51;i:2;d:44;i:3;d:34;i:4;d:31;i:5;d:25;i:6;d:2;i:7;d:0;i:8;d:0;i:9;d:0;},10,89,51
rprice,50,,S.10,80,88,80,a:7:{i:0;d:88;i:1;d:80;i:2;d:70;i:3;d:53;i:4;d:6;i:5;d:1;i:6;d:0;},7,67,80
rprice,51,,S.10,89,97,89,a:10:{i:0;d:97;i:1;d:51;i:2;d:44;i:3;d:34;i:4;d:31;i:5;d:25;i:6;d:2;i:7;d:0;i:8;d:0;i:9;d:0;},10,89,51
rprice,52,,S.10,34,39,34,a:4:{i:0;d:39;i:1;d:5;i:2;d:0;i:3;d:0;},4,34,5
rprice,53,,S.10,78,86,78,a:10:{i:0;d:86;i:1;d:49;i:2;d:31;i:3;d:27;i:4;d:9;i:5;d:6;i:6;d:4;i:7;d:3;i:8;d:0;i:9;d:0;},10,78,49
rprice,54,,S.10,45,66,45,a:4:{i:0;d:66;i:1;d:7;i:2;d:0;i:3;d:0;},4,45,7
rprice,55,,S.10,99,100,99,a:10:{i:0;d:100;i:1;d:78;i:2;d:66;i:3;d:42;i:4;d:37;i:5;d:37;i:6;d:15;i:7;d:11;i:8;d:3;i:9;d:1;},10,99,78
rprice,56,,S.10,78,97,78,a:10:{i:0;d:97;i:1;d:51;i:2;d:44;i:3;d:34;i:4;d:31;i:5;d:25;i:6;d:2;i:7;d:0;i:8;d:0;i:9;d:0;},10,78,51
rprice,57,,S.10,83,91,83,a:7:{i:0;d:91;i:1;d:83;i:2;d:73;i:3;d:49;i:4;d:31;i:5;d:13;i:6;d:5;},7,79,83
rprice,58,,S.10,0,22,0,a:4:{i:0;d:22;i:1;d:5;i:2;d:5;i:3;d:3;},4,45,5
rprice,59,,S.10,0,86,0,a:10:{i:0;d:86;i:1;d:57;i:2;d:44;i:3;d:42;i:4;d:39;i:5;d:31;i:6;d:27;i:7;d:1;i:8;d:1;i:9;d:0;},10,99,57
rprice,60,,S.10,78,97,78,a:10:{i:0;d:97;i:1;d:51;i:2;d:44;i:3;d:34;i:4;d:31;i:5;d:25;i:6;d:2;i:7;d:0;i:8;d:0;i:9;d:0;},10,78,51
rprice,1,,S.11,23,39,23,a:4:{i:0;d:39;i:1;d:23;i:2;d:13;i:3;d:4;},4,10,23
rprice,2,,S.11,41,75,41,a:7:{i:0;d:75;i:1;d:41;i:2;d:22;i:3;d:15;i:4;d:2;i:5;d:0;i:6;d:0;},7,12,41
rprice,3,,S.11,53,91,53,a:7:{i:0;d:91;i:1;d:53;i:2;d:8;i:3;d:6;i:4;d:4;i:5;d:0;i:6;d:0;},7,20,53
rprice,4,,S.11,83,88,83,a:4:{i:0;d:88;i:1;d:83;i:2;d:57;i:3;d:10;},4,8,83
rprice,5,,S.11,23,88,23,a:7:{i:0;d:88;i:1;d:23;i:2;d:7;i:3;d:4;i:4;d:1;i:5;d:0;i:6;d:0;},7,15,23
rprice,6,,S.11,39,53,39,a:10:{i:0;d:53;i:1;d:39;i:2;d:34;i:3;d:29;i:4;d:16;i:5;d:12;i:6;d:9;i:7;d:8;i:8;d:1;i:9;d:0;},10,20,39
rprice,7,,S.11,0,13,0,a:1:{i:0;d:13;},1,0,0
rprice,8,,S.11,64,86,64,a:10:{i:0;d:86;i:1;d:64;i:2;d:59;i:3;d:11;i:4;d:5;i:5;d:4;i:6;d:2;i:7;d:1;i:8;d:1;i:9;d:0;},10,10,64
rprice,9,,S.11,49,97,49,a:7:{i:0;d:97;i:1;d:49;i:2;d:29;i:3;d:27;i:4;d:9;i:5;d:4;i:6;d:4;},7,20,49
rprice,10,,S.11,49,97,49,a:7:{i:0;d:97;i:1;d:49;i:2;d:29;i:3;d:27;i:4;d:9;i:5;d:4;i:6;d:4;},7,15,49
rprice,11,,S.11,1,9,1,a:1:{i:0;d:9;},1,1,0
rprice,12,,S.11,33,41,33,a:4:{i:0;d:41;i:1;d:33;i:2;d:23;i:3;d:0;},4,8,33
rprice,13,,S.11,20,83,20,a:4:{i:0;d:83;i:1;d:18;i:2;d:1;i:3;d:0;},4,20,18
rprice,14,,S.11,64,83,64,a:7:{i:0;d:83;i:1;d:64;i:2;d:64;i:3;d:53;i:4;d:31;i:5;d:10;i:6;d:7;},7,15,64
rprice,15,,S.11,22,75,22,a:4:{i:0;d:75;i:1;d:22;i:2;d:0;i:3;d:0;},4,8,22
rprice,16,,S.11,5,88,5,a:1:{i:0;d:88;},1,5,0
rprice,17,,S.11,80,83,80,a:10:{i:0;d:83;i:1;d:80;i:2;d:70;i:3;d:70;i:4;d:57;i:5;d:19;i:6;d:19;i:7;d:3;i:8;d:0;i:9;d:0;},10,10,80
rprice,18,,S.11,0,4,0,a:1:{i:0;d:4;},1,100,0
rprice,19,,S.11,24,70,24,a:4:{i:0;d:70;i:1;d:24;i:2;d:19;i:3;d:0;},4,8,24
rprice,20,,S.11,49,53,49,a:10:{i:0;d:53;i:1;d:49;i:2;d:44;i:3;d:42;i:4;d:36;i:5;d:25;i:6;d:19;i:7;d:0;i:8;d:0;i:9;d:0;},10,20,49
rprice,21,,S.11,64,83,64,a:7:{i:0;d:83;i:1;d:64;i:2;d:64;i:3;d:53;i:4;d:31;i:5;d:10;i:6;d:7;},7,13,64
rprice,22,,S.11,10,36,10,a:1:{i:0;d:36;},1,10,0
rprice,23,,S.11,49,53,49,a:10:{i:0;d:53;i:1;d:49;i:2;d:44;i:3;d:42;i:4;d:36;i:5;d:25;i:6;d:19;i:7;d:0;i:8;d:0;i:9;d:0;},10,25,49
rprice,24,,S.11,49,64,49,a:10:{i:0;d:64;i:1;d:49;i:2;d:34;i:3;d:33;i:4;d:9;i:5;d:4;i:6;d:1;i:7;d:0;i:8;d:0;i:9;d:0;},10,30,49
rprice,25,,S.11,8,39,8,a:4:{i:0;d:39;i:1;d:5;i:2;d:0;i:3;d:0;},4,8,5
rprice,26,,S.11,36,47,36,a:4:{i:0;d:47;i:1;d:36;i:2;d:5;i:3;d:3;},4,8,36
rprice,27,,S.11,75,88,75,a:7:{i:0;d:88;i:1;d:75;i:2;d:61;i:3;d:51;i:4;d:6;i:5;d:0;i:6;d:0;},7,15,75
rprice,28,,S.11,42,68,42,a:4:{i:0;d:68;i:1;d:42;i:2;d:7;i:3;d:1;},4,8,42
rprice,29,,S.11,46,49,46,a:7:{i:0;d:49;i:1;d:46;i:2;d:33;i:3;d:20;i:4;d:13;i:5;d:4;i:6;d:0;},7,15,46
rprice,30,,S.11,36,47,36,a:4:{i:0;d:47;i:1;d:36;i:2;d:5;i:3;d:3;},4,8,36
rprice,31,,S.11,83,88,83,a:4:{i:0;d:88;i:1;d:83;i:2;d:57;i:3;d:10;},4,8,83
rprice,32,,S.11,75,88,75,a:7:{i:0;d:88;i:1;d:75;i:2;d:61;i:3;d:51;i:4;d:6;i:5;d:0;i:6;d:0;},7,20,75
rprice,33,,S.11,64,88,64,a:10:{i:0;d:88;i:1;d:64;i:2;d:34;i:3;d:21;i:4;d:19;i:5;d:10;i:6;d:9;i:7;d:5;i:8;d:1;i:9;d:0;},10,25,64
rprice,34,,S.11,10,14,10,a:4:{i:0;d:14;i:1;d:3;i:2;d:1;i:3;d:0;},4,10,3
rprice,35,,S.11,20,44,20,a:7:{i:0;d:44;i:1;d:20;i:2;d:7;i:3;d:0;i:4;d:0;i:5;d:0;i:6;d:0;},7,15,20
rprice,36,,S.11,23,39,23,a:4:{i:0;d:39;i:1;d:23;i:2;d:13;i:3;d:4;},4,8,23
rprice,37,,S.11,83,88,83,a:4:{i:0;d:88;i:1;d:83;i:2;d:57;i:3;d:10;},4,9,83
rprice,38,,S.11,42,94,42,a:7:{i:0;d:94;i:1;d:42;i:2;d:21;i:3;d:20;i:4;d:8;i:5;d:6;i:6;d:0;},7,17,42
rprice,39,,S.11,49,97,49,a:7:{i:0;d:97;i:1;d:49;i:2;d:29;i:3;d:27;i:4;d:9;i:5;d:4;i:6;d:4;},7,17,49
rprice,40,,S.11,68,68,68,a:4:{i:0;d:68;i:1;d:68;i:2;d:2;i:3;d:0;},4,8,68
rprice,41,,S.11,20,44,20,a:7:{i:0;d:44;i:1;d:20;i:2;d:7;i:3;d:0;i:4;d:0;i:5;d:0;i:6;d:0;},7,17,20
rprice,42,,S.11,0,5,0,a:1:{i:0;d:5;},1,11,0
rprice,43,,S.11,57,91,57,a:7:{i:0;d:91;i:1;d:57;i:2;d:24;i:3;d:23;i:4;d:20;i:5;d:9;i:6;d:5;},7,15,57
rprice,44,,S.11,10,39,10,a:1:{i:0;d:39;},1,10,0
rprice,45,,S.11,49,97,49,a:7:{i:0;d:97;i:1;d:49;i:2;d:29;i:3;d:27;i:4;d:9;i:5;d:4;i:6;d:4;},7,17,49
rprice,46,,S.11,33,41,33,a:4:{i:0;d:41;i:1;d:33;i:2;d:23;i:3;d:0;},4,8,33
rprice,47,,S.11,10,36,10,a:1:{i:0;d:36;},1,10,0
rprice,48,,S.11,68,80,68,a:4:{i:0;d:80;i:1;d:68;i:2;d:59;i:3;d:5;},4,8,68
rprice,49,,S.11,64,70,64,a:7:{i:0;d:70;i:1;d:64;i:2;d:57;i:3;d:57;i:4;d:20;i:5;d:4;i:6;d:1;},7,17,64
rprice,50,,S.11,36,47,36,a:4:{i:0;d:47;i:1;d:36;i:2;d:5;i:3;d:3;},4,8,36
rprice,51,,S.11,46,49,46,a:7:{i:0;d:49;i:1;d:46;i:2;d:33;i:3;d:20;i:4;d:13;i:5;d:4;i:6;d:0;},7,20,46
rprice,52,,S.11,75,88,75,a:7:{i:0;d:88;i:1;d:75;i:2;d:61;i:3;d:51;i:4;d:6;i:5;d:0;i:6;d:0;},7,20,75
rprice,53,,S.11,25,44,25,a:7:{i:0;d:44;i:1;d:20;i:2;d:7;i:3;d:0;i:4;d:0;i:5;d:0;i:6;d:0;},7,25,20
rprice,54,,S.11,46,49,46,a:7:{i:0;d:49;i:1;d:46;i:2;d:33;i:3;d:20;i:4;d:13;i:5;d:4;i:6;d:0;},7,20,46
rprice,55,,S.11,8,39,8,a:4:{i:0;d:39;i:1;d:5;i:2;d:0;i:3;d:0;},4,8,5
rprice,56,,S.11,51,97,51,a:10:{i:0;d:97;i:1;d:51;i:2;d:44;i:3;d:34;i:4;d:31;i:5;d:25;i:6;d:2;i:7;d:0;i:8;d:0;i:9;d:0;},10,25,51
rprice,57,,S.11,83,91,83,a:7:{i:0;d:91;i:1;d:83;i:2;d:73;i:3;d:49;i:4;d:31;i:5;d:13;i:6;d:5;},7,15,83
rprice,58,,S.11,10,39,10,a:1:{i:0;d:39;},1,10,0
rprice,59,,S.11,51,55,51,a:4:{i:0;d:55;i:1;d:51;i:2;d:44;i:3;d:1;},4,8,51
rprice,60,,S.11,22,36,22,a:4:{i:0;d:36;i:1;d:22;i:2;d:2;i:3;d:0;},4,8,22
rprice,1,,S.12,25,94,25,a:4:{i:0;d:94;i:1;d:24;i:2;d:13;i:3;d:0;},4,25,24
rprice,2,,S.12,50,86,50,a:10:{i:0;d:86;i:1;d:22;i:2;d:21;i:3;d:20;i:4;d:15;i:5;d:13;i:6;d:12;i:7;d:2;i:8;d:1;i:9;d:0;},10,50,22
rprice,3,,S.12,0,8,0,a:1:{i:0;d:8;},1,100,0
