bidder_group,round,ai_reserve_price,human_reserve_price,num_bidder,bid_prices,mode,context_num
S.16,56,1,1,10,"[100, 94, 26, 21, 9, 2, 1, 1, 0, 0]",regionshuffle,30
S.16,57,9,34,4,"[9, 9, 1, 0]",regionshuffle,30
S.16,58,2,23,10,"[86, 57, 51, 44, 37, 23, 9, 3, 1, 0]",regionshuffle,30
S.16,59,1,5,1,[57],regionshuffle,30
S.16,60,1,1,1,[27],regionshuffle,30
S.17,31,50,90,7,"[64, 47, 33, 13, 9, 3, 0]",regionshuffle,30
S.17,32,60,15,1,[11],regionshuffle,30
S.17,33,45,10,10,"[97, 51, 42, 34, 26, 18, 16, 15, 10, 6]",regionshuffle,30
S.17,34,35,15,10,"[86, 57, 51, 44, 37, 23, 16, 9, 3, 1]",regionshuffle,30
S.17,35,55,20,1,[0],regionshuffle,30
S.17,36,45,15,10,"[47, 29, 26, 22, 17, 13, 5, 3, 0, 0]",regionshuffle,30
S.17,37,25,20,4,"[61, 47, 27, 22]",regionshuffle,30
S.17,38,25,20,1,[9],regionshuffle,30
S.17,39,45,25,10,"[64, 61, 46, 22, 19, 19, 2, 2, 0, 0]",regionshuffle,30
S.17,40,35,30,10,"[78, 70, 61, 59, 57, 39, 23, 13, 5, 1]",regionshuffle,30
S.17,41,40,35,4,"[97, 59, 0, 0]",regionshuffle,30
S.17,42,30,40,4,"[61, 47, 27, 22]",regionshuffle,30
S.17,43,40,45,4,"[53, 33, 12, 1]",regionshuffle,30
S.17,44,15,50,1,[5],regionshuffle,30
S.17,45,35,55,10,"[51, 39, 33, 29, 11, 7, 3, 1, 0, 0]",regionshuffle,30
S.17,46,45,10,1,[6],regionshuffle,30
S.17,47,45,15,10,"[86, 22, 21, 20, 15, 13, 12, 2, 1, 0]",regionshuffle,30
S.17,48,35,20,10,"[91, 14, 13, 4, 2, 1, 1, 0, 0, 0]",regionshuffle,30
S.17,49,45,25,10,"[68, 61, 47, 31, 27, 22, 12, 9, 6, 0]",regionshuffle,30
S.17,50,35,25,10,"[91, 83, 73, 66, 61, 47, 7, 3, 1, 0]",regionshuffle,30
S.17,51,40,25,4,"[46, 20, 0, 0]",regionshuffle,30
S.17,52,35,25,7,"[88, 66, 44, 16, 9, 1, 0]",regionshuffle,30
S.17,53,25,30,4,"[46, 20, 0, 0]",regionshuffle,30
S.17,54,35,30,1,[5],regionshuffle,30
S.17,55,25,35,1,[13],regionshuffle,30
S.17,56,20,35,1,[0],regionshuffle,30
S.17,57,15,10,1,[12],regionshuffle,30
S.17,58,35,15,10,"[100, 68, 49, 46, 7, 6, 6, 3, 0, 0]",regionshuffle,30
S.17,59,15,15,1,[0],regionshuffle,30
S.17,60,35,20,10,"[97, 51, 42, 34, 26, 18, 16, 15, 10, 6]",regionshuffle,30
S.18,31,33,28,4,"[9, 9, 1, 0]",regionshuffle,30
S.18,32,33,88,1,[14],regionshuffle,30
S.18,33,53,28,7,"[46, 33, 18, 13, 4, 1, 0]",regionshuffle,30
S.18,34,33,33,1,[0],regionshuffle,30
S.18,35,33,18,4,"[34, 9, 6, 0]",regionshuffle,30
S.18,36,33,99,4,"[88, 75, 47, 0]",regionshuffle,30
S.18,37,65,50,10,"[94, 68, 47, 27, 22, 12, 9, 5, 0, 0]",regionshuffle,30
S.18,38,50,50,10,"[83, 75, 42, 33, 31, 10, 1, 0, 0, 0]",regionshuffle,30
S.18,39,53,20,7,"[88, 24, 22, 8, 6, 5, 0]",regionshuffle,30
S.18,40,34,22,7,"[49, 44, 21, 19, 7, 4, 0]",regionshuffle,30
S.18,41,33,39,1,[9],regionshuffle,30
S.18,42,34,20,7,"[68, 61, 47, 27, 22, 12, 6]",regionshuffle,30
S.18,43,33,20,4,"[70, 23, 12, 10]",regionshuffle,30
S.18,44,33,20,1,[0],regionshuffle,30
S.18,45,34,22,7,"[47, 36, 6, 3, 2, 0, 0]",regionshuffle,30
S.18,46,33,20,1,[0],regionshuffle,30
S.18,47,33,26,1,[5],regionshuffle,30
S.18,48,33,30,4,"[34, 8, 0, 0]",regionshuffle,30
S.18,49,53,29,7,"[44, 25, 12, 2, 2, 0, 0]",regionshuffle,30
S.18,50,34,30,7,"[27, 24, 20, 20, 13, 9, 0]",regionshuffle,30
S.18,51,33,2,4,"[18, 17, 0, 0]",regionshuffle,30
S.18,52,33,20,1,[13],regionshuffle,30
S.18,53,33,17,1,[91],regionshuffle,30
S.18,54,33,20,1,[27],regionshuffle,30
S.18,55,55,10,10,"[68, 46, 42, 14, 7, 6, 6, 0, 0, 0]",regionshuffle,30
S.18,56,33,33,1,[2],regionshuffle,30
S.18,57,55,55,10,"[94, 88, 47, 21, 19, 14, 5, 0, 0, 0]",regionshuffle,30
S.18,58,33,9,1,[47],regionshuffle,30
S.18,59,33,10,4,"[31, 1, 0, 0]",regionshuffle,30
S.18,60,55,8,10,"[91, 57, 5, 1, 0, 0, 0, 0, 0, 0]",regionshuffle,30
S.19,31,60,60,7,"[66, 59, 59, 47, 25, 3, 0]",regionshuffle,30
S.19,32,70,50,4,"[12, 2, 0, 0]",regionshuffle,30
S.19,33,50,60,10,"[78, 70, 66, 36, 13, 8, 3, 1, 1, 0]",regionshuffle,30
S.19,34,80,70,10,"[83, 55, 51, 25, 15, 7, 1, 0, 0, 0]",regionshuffle,30
S.19,35,40,80,1,[27],regionshuffle,30
S.19,36,50,50,4,"[68, 46, 3, 0]",regionshuffle,30
S.19,37,50,20,10,"[100, 94, 86, 66, 47, 46, 42, 2, 2, 1]",regionshuffle,30
S.19,38,60,30,7,"[47, 3, 2, 1, 1, 0, 0]",regionshuffle,30
S.19,39,80,10,1,[80],regionshuffle,30
S.19,40,80,20,10,"[91, 91, 78, 51, 15, 14, 5, 3, 2, 1]",regionshuffle,30
S.19,41,80,30,10,"[80, 24, 23, 16, 7, 5, 5, 1, 0, 0]",regionshuffle,30
S.19,42,40,20,1,[1],regionshuffle,30
S.19,43,80,30,4,"[68, 59, 34, 0]",regionshuffle,30
S.19,44,60,40,7,"[47, 29, 26, 17, 5, 0, 0]",regionshuffle,30
S.19,45,50,30,10,"[78, 70, 66, 36, 13, 8, 3, 1, 1, 0]",regionshuffle,30
S.19,46,90,10,1,[0],regionshuffle,30
S.19,47,90,20,1,[49],regionshuffle,30
S.19,48,70,0,7,"[47, 25, 9, 9, 3, 0, 0]",regionshuffle,30
S.19,49,80,30,1,[13],regionshuffle,30
S.19,50,60,20,7,"[70, 46, 44, 25, 24, 20, 19]",regionshuffle,30
S.19,51,80,40,10,"[91, 83, 66, 61, 53, 47, 7, 3, 1, 0]",regionshuffle,30
S.19,52,80,30,4,"[31, 1, 0, 0]",regionshuffle,30
S.19,53,50,40,4,"[31, 1, 0, 0]",regionshuffle,30
S.19,54,60,30,7,"[68, 34, 23, 19, 12, 3, 1]",regionshuffle,30
S.19,55,80,20,10,"[94, 64, 12, 10, 9, 5, 2, 0, 0, 0]",regionshuffle,30
S.19,56,60,39,7,"[46, 33, 18, 13, 4, 1, 0]",regionshuffle,30
S.19,57,80,40,10,"[91, 83, 73, 66, 61, 47, 7, 3, 1, 0]",regionshuffle,30
S.19,58,80,40,10,"[55, 34, 23, 13, 8, 5, 1, 0, 0, 0]",regionshuffle,30
S.19,59,80,43,1,[0],regionshuffle,30
S.19,60,60,34,1,[0],regionshuffle,30
S.2,31,13,13,10,"[80, 42, 37, 24, 22, 9, 8, 7, 0, 0]",regionshuffle,30
S.2,32,13,13,10,"[97, 41, 39, 9, 7, 3, 1, 0, 0, 0]",regionshuffle,30
S.2,33,15,14,7,"[66, 21, 12, 3, 2, 1, 0]",regionshuffle,30
S.2,34,15,15,7,"[94, 23, 13, 4, 1, 0, 0]",regionshuffle,30
S.2,35,13,14,10,"[91, 83, 73, 66, 61, 47, 7, 3, 1, 0]",regionshuffle,30
S.2,36,10,5,1,[2],regionshuffle,30
S.2,37,13,5,1,[0],regionshuffle,30
S.2,38,0,3,1,[6],regionshuffle,30
S.2,39,13,12,10,"[83, 18, 13, 13, 12, 5, 2, 0, 0, 0]",regionshuffle,30
S.2,40,13,12,10,"[83, 64, 55, 51, 37, 16, 3, 1, 0, 0]",regionshuffle,30
S.2,41,13,13,10,"[86, 55, 47, 6, 4, 4, 2, 1, 0, 0]",regionshuffle,30
S.2,42,13,13,4,"[23, 21, 6, 2]",regionshuffle,30
S.2,43,12,13,4,"[68, 59, 34, 0]",regionshuffle,30
S.2,44,0,4,1,[0],regionshuffle,30
S.2,45,13,14,10,"[86, 22, 21, 20, 15, 13, 12, 2, 1, 0]",regionshuffle,30
S.2,46,6,14,4,"[66, 44, 1, 1]",regionshuffle,30
S.2,47,6,14,4,"[75, 42, 27, 5]",regionshuffle,30
S.2,48,0,3,1,[0],regionshuffle,30
S.2,49,0,14,1,[86],regionshuffle,30
S.2,50,13,16,4,"[78, 5, 2, 0]",regionshuffle,30
S.2,51,6,25,7,"[70, 26, 8, 3, 0, 0, 0]",regionshuffle,30
S.2,52,5,17,4,"[100, 83, 4, 2]",regionshuffle,30
S.2,53,15,40,7,"[66, 59, 59, 47, 25, 3, 0]",regionshuffle,30
S.2,54,15,40,7,"[21, 9, 9, 3, 2, 2, 0]",regionshuffle,30
S.2,55,13,40,10,"[100, 68, 66, 34, 17, 15, 9, 5, 0, 0]",regionshuffle,30
S.2,56,13,40,10,"[70, 41, 33, 23, 19, 11, 1, 1, 0, 0]",regionshuffle,30
S.2,57,0,12,1,[0],regionshuffle,30
S.2,58,15,30,7,"[97, 41, 36, 15, 15, 7, 6]",regionshuffle,30
