round,participantID,cost,demand,order,price,profit,sales,mode
16,4,9,210,150,12,450,150,intrinsic
17,4,9,157,150,12,450,150,intrinsic
18,4,9,172,190,12,354,172,intrinsic
19,4,9,80,160,12,-480,80,intrinsic
20,4,9,82,150,12,-366,82,intrinsic
21,4,9,236,180,12,540,180,intrinsic
22,4,9,2,150,12,-1326,2,intrinsic
23,4,9,233,150,12,450,150,intrinsic
24,4,9,244,150,12,450,150,intrinsic
25,4,9,208,150,12,450,150,intrinsic
26,4,9,9,150,12,-1242,9,intrinsic
27,4,9,122,180,12,-156,122,intrinsic
28,4,9,252,120,12,360,120,intrinsic
29,4,9,240,150,12,450,150,intrinsic
30,4,9,107,150,12,-66,107,intrinsic
1,6,3,281,150,12,1350,150,intrinsic
2,6,3,260,120,12,1080,120,intrinsic
3,6,3,13,120,12,-204,13,intrinsic
5,6,3,106,150,12,822,106,intrinsic
6,6,3,155,150,12,1350,150,intrinsic
7,6,3,233,150,12,1350,150,intrinsic
8,6,3,12,150,12,-306,12,intrinsic
9,6,3,167,150,12,1350,150,intrinsic
10,6,3,146,150,12,1302,146,intrinsic
11,6,3,87,150,12,594,87,intrinsic
12,6,3,180,220,12,1500,180,intrinsic
13,6,3,188,150,12,1350,150,intrinsic
14,6,3,77,200,12,324,77,intrinsic
15,6,3,80,150,12,510,80,intrinsic
16,6,9,210,150,12,450,150,intrinsic
17,6,9,157,150,12,450,150,intrinsic
18,6,9,172,150,12,450,150,intrinsic
19,6,9,80,150,12,-390,80,intrinsic
20,6,9,82,150,12,-366,82,intrinsic
21,6,9,236,180,12,540,180,intrinsic
22,6,9,2,180,12,-1596,2,intrinsic
23,6,9,233,150,12,450,150,intrinsic
24,6,9,244,150,12,450,150,intrinsic
25,6,9,208,150,12,450,150,intrinsic
26,6,9,9,180,12,-1512,9,intrinsic
27,6,9,122,150,12,114,122,intrinsic
28,6,9,252,150,12,450,150,intrinsic
29,6,9,240,150,12,450,150,intrinsic
30,6,9,107,180,12,-336,107,intrinsic
1,8,9,210,150,12,450,150,intrinsic
2,8,9,157,150,12,450,150,intrinsic
3,8,9,172,180,12,444,172,intrinsic
4,8,9,80,150,12,-390,80,intrinsic
5,8,9,82,150,12,-366,82,intrinsic
6,8,9,236,190,12,570,190,intrinsic
7,8,9,2,150,12,-1326,2,intrinsic
8,8,9,233,150,12,450,150,intrinsic
9,8,9,244,150,12,450,150,intrinsic
10,8,9,208,150,12,450,150,intrinsic
11,8,9,9,150,12,-1242,9,intrinsic
12,8,9,122,180,12,-156,122,intrinsic
13,8,9,252,180,12,540,180,intrinsic
14,8,9,240,200,12,600,200,intrinsic
15,8,9,107,150,12,-66,107,intrinsic
16,8,3,281,150,12,1350,150,intrinsic
17,8,3,260,150,12,1350,150,intrinsic
18,8,3,13,180,12,-384,13,intrinsic
19,8,3,275,150,12,1350,150,intrinsic
20,8,3,106,150,12,822,106,intrinsic
21,8,3,155,150,12,1350,150,intrinsic
22,8,3,233,200,12,1800,200,intrinsic
23,8,3,12,150,12,-306,12,intrinsic
24,8,3,167,200,12,1404,167,intrinsic
25,8,3,146,150,12,1302,146,intrinsic
26,8,3,87,150,12,594,87,intrinsic
27,8,3,180,150,12,1350,150,intrinsic
28,8,3,188,175,12,1575,175,intrinsic
29,8,3,77,150,12,474,77,intrinsic
30,8,3,80,150,12,510,80,intrinsic
1,9,9,210,150,12,450,150,intrinsic
2,9,9,157,150,12,450,150,intrinsic
3,9,9,172,150,12,450,150,intrinsic
4,9,9,80,150,12,-390,80,intrinsic
5,9,9,82,150,12,-366,82,intrinsic
6,9,9,236,150,12,450,150,intrinsic
7,9,9,2,150,12,-1326,2,intrinsic
8,9,9,233,150,12,450,150,intrinsic
9,9,9,244,150,12,450,150,intrinsic
10,9,9,208,150,12,450,150,intrinsic
11,9,9,9,150,12,-1242,9,intrinsic
12,9,9,122,150,12,114,122,intrinsic
13,9,9,252,150,12,450,150,intrinsic
14,9,9,240,150,12,450,150,intrinsic
15,9,9,107,200,12,-516,107,intrinsic
16,9,3,281,150,12,1350,150,intrinsic
17,9,3,260,150,12,1350,150,intrinsic
18,9,3,13,150,12,-294,13,intrinsic
19,9,3,275,150,12,1350,150,intrinsic
20,9,3,106,150,12,822,106,intrinsic
21,9,3,155,180,12,1320,155,intrinsic
22,9,3,233,150,12,1350,150,intrinsic
23,9,3,12,180,12,-396,12,intrinsic
24,9,3,167,150,12,1350,150,intrinsic
25,9,3,146,150,12,1302,146,intrinsic
26,9,3,87,150,12,594,87,intrinsic
27,9,3,180,150,12,1350,150,intrinsic
28,9,3,188,150,12,1350,150,intrinsic
29,9,3,77,180,12,384,77,intrinsic
30,9,3,80,150,12,510,80,intrinsic
1,13,3,281,150,12,1350,150,intrinsic
2,13,3,260,120,12,1080,120,intrinsic
3,13,3,13,180,12,-384,13,intrinsic
4,13,3,275,150,12,1350,150,intrinsic
5,13,3,106,150,12,822,106,intrinsic
6,13,3,155,150,12,1350,150,intrinsic
7,13,3,233,150,12,1350,150,intrinsic
8,13,3,12,160,12,-336,12,intrinsic
9,13,3,167,220,12,1344,167,intrinsic
10,13,3,146,150,12,1302,146,intrinsic
11,13,3,87,150,12,594,87,intrinsic
12,13,3,180,150,12,1350,150,intrinsic
13,13,3,188,150,12,1350,150,intrinsic
14,13,3,77,200,12,324,77,intrinsic
15,13,3,80,200,12,360,80,intrinsic
16,13,9,210,150,12,450,150,intrinsic
17,13,9,157,150,12,450,150,intrinsic
18,13,9,172,150,12,450,150,intrinsic
19,13,9,80,150,12,-390,80,intrinsic
20,13,9,82,150,12,-366,82,intrinsic
21,13,9,236,150,12,450,150,intrinsic
22,13,9,2,150,12,-1326,2,intrinsic
23,13,9,233,150,12,450,150,intrinsic
24,13,9,244,150,12,450,150,intrinsic
25,13,9,208,200,12,600,200,intrinsic
26,13,9,9,180,12,-1512,9,intrinsic
27,13,9,122,150,12,114,122,intrinsic
28,13,9,252,150,12,450,150,intrinsic
29,13,9,240,150,12,450,150,intrinsic
30,13,9,107,150,12,-66,107,intrinsic
1,16,3,281,150,12,1350,150,intrinsic
2,16,3,260,150,12,1350,150,intrinsic
3,16,3,13,180,12,-384,13,intrinsic
4,16,3,275,150,12,1350,150,intrinsic
5,16,3,106,150,12,822,106,intrinsic
6,16,3,155,150,12,1350,150,intrinsic
7,16,3,233,150,12,1350,150,intrinsic
8,16,3,12,150,12,-306,12,intrinsic
9,16,3,167,150,12,1350,150,intrinsic
10,16,3,146,150,12,1302,146,intrinsic
11,16,3,87,150,12,594,87,intrinsic
12,16,3,180,200,12,1560,180,intrinsic
13,16,3,188,150,12,1350,150,intrinsic
14,16,3,77,150,12,474,77,intrinsic
15,16,3,80,120,12,600,80,intrinsic
16,16,9,210,150,12,450,150,intrinsic
17,16,9,157,150,12,450,150,intrinsic
18,16,9,172,150,12,450,150,intrinsic
19,16,9,80,150,12,-390,80,intrinsic
20,16,9,82,200,12,-816,82,intrinsic
21,16,9,236,150,12,450,150,intrinsic
22,16,9,2,150,12,-1326,2,intrinsic
23,16,9,233,200,12,600,200,intrinsic
24,16,9,244,150,12,450,150,intrinsic
25,16,9,208,150,12,450,150,intrinsic
26,16,9,9,150,12,-1242,9,intrinsic
27,16,9,122,150,12,114,122,intrinsic
28,16,9,252,150,12,450,150,intrinsic
29,16,9,240,150,12,450,150,intrinsic
30,16,9,107,150,12,-66,107,intrinsic
1,17,3,281,150,12,1350,150,intrinsic
2,17,3,260,150,12,1350,150,intrinsic
3,17,3,13,150,12,-294,13,intrinsic
4,17,3,275,150,12,1350,150,intrinsic
5,17,3,106,160,12,792,106,intrinsic
6,17,3,155,150,12,1350,150,intrinsic
7,17,3,233,120,12,1080,120,intrinsic
8,17,3,12,125,12,-231,12,intrinsic
9,17,3,167,200,12,1404,167,intrinsic
10,17,3,146,180,12,1212,146,intrinsic
11,17,3,87,150,12,594,87,intrinsic
12,17,3,180,150,12,1350,150,intrinsic
13,17,3,188,180,12,1620,180,intrinsic
14,17,3,77,180,12,384,77,intrinsic
15,17,3,80,200,12,360,80,intrinsic
16,17,9,210,180,12,540,180,intrinsic
17,17,9,157,160,12,444,157,intrinsic
18,17,9,172,200,12,264,172,intrinsic
19,17,9,80,220,12,-1020,80,intrinsic
20,17,9,82,180,12,-636,82,intrinsic
21,17,9,236,150,12,450,150,intrinsic
22,17,9,2,150,12,-1326,2,intrinsic
23,17,9,233,150,12,450,150,intrinsic
24,17,9,244,150,12,450,150,intrinsic
25,17,9,208,150,12,450,150,intrinsic
26,17,9,9,150,12,-1242,9,intrinsic
27,17,9,122,200,12,-336,122,intrinsic
28,17,9,252,150,12,450,150,intrinsic
29,17,9,240,200,12,600,200,intrinsic
30,17,9,107,150,12,-66,107,intrinsic
1,25,9,210,150,12,450,150,intrinsic
2,25,9,157,180,12,264,157,intrinsic
3,25,9,172,150,12,450,150,intrinsic
4,25,9,80,150,12,-390,80,intrinsic
5,25,9,82,120,12,-96,82,intrinsic
6,25,9,236,200,12,600,200,intrinsic
7,25,9,2,150,12,-1326,2,intrinsic
8,25,9,233,150,12,450,150,intrinsic
9,25,9,244,150,12,450,150,intrinsic
10,25,9,208,150,12,450,150,intrinsic
11,25,9,9,150,12,-1242,9,intrinsic
12,25,9,122,150,12,114,122,intrinsic
13,25,9,252,200,12,600,200,intrinsic
15,25,9,107,150,12,-66,107,intrinsic
16,25,3,281,150,12,1350,150,intrinsic
17,25,3,260,150,12,1350,150,intrinsic
18,25,3,13,120,12,-204,13,intrinsic
19,25,3,275,150,12,1350,150,intrinsic
20,25,3,106,150,12,822,106,intrinsic
21,25,3,155,150,12,1350,150,intrinsic
22,25,3,233,200,12,1800,200,intrinsic
23,25,3,12,150,12,-306,12,intrinsic
24,25,3,167,180,12,1464,167,intrinsic
25,25,3,146,150,12,1302,146,intrinsic
26,25,3,87,150,12,594,87,intrinsic
27,25,3,180,200,12,1560,180,intrinsic
28,25,3,188,180,12,1620,180,intrinsic
29,25,3,77,150,12,474,77,intrinsic
30,25,3,80,150,12,510,80,intrinsic
1,27,9,210,150,12,450,150,intrinsic
2,27,9,157,150,12,450,150,intrinsic
3,27,9,172,150,12,450,150,intrinsic
4,27,9,80,150,12,-390,80,intrinsic
5,27,9,82,150,12,-366,82,intrinsic
6,27,9,236,150,12,450,150,intrinsic
7,27,9,2,150,12,-1326,2,intrinsic
8,27,9,233,150,12,450,150,intrinsic
9,27,9,244,150,12,450,150,intrinsic
10,27,9,208,150,12,450,150,intrinsic
11,27,9,9,180,12,-1512,9,intrinsic
12,27,9,122,150,12,114,122,intrinsic
13,27,9,252,180,12,540,180,intrinsic
14,27,9,240,150,12,450,150,intrinsic
15,27,9,107,150,12,-66,107,intrinsic
16,27,3,281,150,12,1350,150,intrinsic
17,27,3,260,150,12,1350,150,intrinsic
18,27,3,13,150,12,-294,13,intrinsic
19,27,3,275,150,12,1350,150,intrinsic
20,27,3,106,150,12,822,106,intrinsic
21,27,3,155,150,12,1350,150,intrinsic
22,27,3,233,150,12,1350,150,intrinsic
23,27,3,12,150,12,-306,12,intrinsic
24,27,3,167,200,12,1404,167,intrinsic
25,27,3,146,150,12,1302,146,intrinsic
26,27,3,87,120,12,684,87,intrinsic
27,27,3,180,150,12,1350,150,intrinsic
28,27,3,188,150,12,1350,150,intrinsic
29,27,3,77,200,12,324,77,intrinsic
30,27,3,80,150,12,510,80,intrinsic
1,32,3,281,200,12,1800,200,intrinsic
2,32,3,260,150,12,1350,150,intrinsic
3,32,3,13,150,12,-294,13,intrinsic
4,32,3,275,150,12,1350,150,intrinsic
5,32,3,106,150,12,822,106,intrinsic
6,32,3,155,150,12,1350,150,intrinsic
7,32,3,233,180,12,1620,180,intrinsic
8,32,3,12,200,12,-456,12,intrinsic
9,32,3,167,150,12,1350,150,intrinsic
10,32,3,146,150,12,1302,146,intrinsic
11,32,3,87,200,12,444,87,intrinsic
12,32,3,180,180,12,1620,180,intrinsic
13,32,3,188,150,12,1350,150,intrinsic
15,32,3,80,220,12,300,80,intrinsic
16,32,9,210,150,12,450,150,intrinsic
17,32,9,157,150,12,450,150,intrinsic
18,32,9,172,150,12,450,150,intrinsic
19,32,9,80,150,12,-390,80,intrinsic
20,32,9,82,150,12,-366,82,intrinsic
21,32,9,236,150,12,450,150,intrinsic
22,32,9,2,180,12,-1596,2,intrinsic
23,32,9,233,175,12,525,175,intrinsic
24,32,9,244,150,12,450,150,intrinsic
25,32,9,208,180,12,540,180,intrinsic
26,32,9,9,150,12,-1242,9,intrinsic
27,32,9,122,150,12,114,122,intrinsic
28,32,9,252,150,12,450,150,intrinsic
29,32,9,240,150,12,450,150,intrinsic
30,32,9,107,150,12,-66,107,intrinsic
1,37,3,281,150,12,1350,150,intrinsic
2,37,3,260,150,12,1350,150,intrinsic
3,37,3,13,150,12,-294,13,intrinsic
4,37,3,275,150,12,1350,150,intrinsic
5,37,3,106,150,12,822,106,intrinsic
6,37,3,155,210,12,1230,155,intrinsic
7,37,3,233,150,12,1350,150,intrinsic
8,37,3,12,200,12,-456,12,intrinsic
9,37,3,167,150,12,1350,150,intrinsic
10,37,3,146,150,12,1302,146,intrinsic
11,37,3,87,150,12,594,87,intrinsic
12,37,3,180,150,12,1350,150,intrinsic
13,37,3,188,150,12,1350,150,intrinsic
14,37,3,77,150,12,474,77,intrinsic
15,37,3,80,150,12,510,80,intrinsic
16,37,9,210,150,12,450,150,intrinsic
17,37,9,157,150,12,450,150,intrinsic
18,37,9,172,150,12,450,150,intrinsic
19,37,9,80,150,12,-390,80,intrinsic
20,37,9,82,150,12,-366,82,intrinsic
21,37,9,236,150,12,450,150,intrinsic
22,37,9,2,180,12,-1596,2,intrinsic
23,37,9,233,150,12,450,150,intrinsic
24,37,9,244,150,12,450,150,intrinsic
25,37,9,208,140,12,420,140,intrinsic
26,37,9,9,150,12,-1242,9,intrinsic
27,37,9,122,180,12,-156,122,intrinsic
28,37,9,252,200,12,600,200,intrinsic
29,37,9,240,180,12,540,180,intrinsic
30,37,9,107,120,12,204,107,intrinsic
1,41,9,210,150,12,450,150,intrinsic
2,41,9,157,150,12,450,150,intrinsic
3,41,9,172,150,12,450,150,intrinsic
4,41,9,80,150,12,-390,80,intrinsic
5,41,9,82,120,12,-96,82,intrinsic
6,41,9,236,150,12,450,150,intrinsic
7,41,9,2,150,12,-1326,2,intrinsic
8,41,9,233,150,12,450,150,intrinsic
9,41,9,244,150,12,450,150,intrinsic
10,41,9,208,150,12,450,150,intrinsic
11,41,9,9,150,12,-1242,9,intrinsic
12,41,9,122,150,12,114,122,intrinsic
13,41,9,252,200,12,600,200,intrinsic
14,41,9,240,150,12,450,150,intrinsic
15,41,9,107,150,12,-66,107,intrinsic
16,41,3,281,120,12,1080,120,intrinsic
17,41,3,260,200,12,1800,200,intrinsic
18,41,3,13,150,12,-294,13,intrinsic
19,41,3,275,150,12,1350,150,intrinsic
20,41,3,106,200,12,672,106,intrinsic
21,41,3,155,150,12,1350,150,intrinsic
22,41,3,233,150,12,1350,150,intrinsic
23,41,3,12,150,12,-306,12,intrinsic
24,41,3,167,210,12,1374,167,intrinsic
25,41,3,146,150,12,1302,146,intrinsic
26,41,3,87,200,12,444,87,intrinsic
27,41,3,180,220,12,1500,180,intrinsic
28,41,3,188,150,12,1350,150,intrinsic
29,41,3,77,150,12,474,77,intrinsic
30,41,3,80,150,12,510,80,intrinsic
1,43,3,281,150,12,1350,150,intrinsic
2,43,3,260,180,12,1620,180,intrinsic
3,43,3,13,150,12,-294,13,intrinsic
4,43,3,275,200,12,1800,200,intrinsic
5,43,3,106,150,12,822,106,intrinsic
6,43,3,155,150,12,1350,150,intrinsic
7,43,3,233,150,12,1350,150,intrinsic
8,43,3,12,180,12,-396,12,intrinsic
9,43,3,167,150,12,1350,150,intrinsic
10,43,3,146,150,12,1302,146,intrinsic
11,43,3,87,150,12,594,87,intrinsic
12,43,3,180,150,12,1350,150,intrinsic
13,43,3,188,150,12,1350,150,intrinsic
14,43,3,77,150,12,474,77,intrinsic
15,43,3,80,120,12,600,80,intrinsic
16,43,9,210,130,12,390,130,intrinsic
17,43,9,157,150,12,450,150,intrinsic
18,43,9,172,220,12,84,172,intrinsic
20,43,9,82,150,12,-366,82,intrinsic
21,43,9,236,150,12,450,150,intrinsic
22,43,9,2,150,12,-1326,2,intrinsic
23,43,9,233,200,12,600,200,intrinsic
24,43,9,244,150,12,450,150,intrinsic
25,43,9,208,150,12,450,150,intrinsic
26,43,9,9,170,12,-1422,9,intrinsic
27,43,9,122,125,12,339,122,intrinsic
28,43,9,252,150,12,450,150,intrinsic
29,43,9,240,150,12,450,150,intrinsic
30,43,9,107,150,12,-66,107,intrinsic
1,45,3,281,150,12,1350,150,intrinsic
2,45,3,260,200,12,1800,200,intrinsic
3,45,3,13,200,12,-444,13,intrinsic
4,45,3,275,220,12,1980,220,intrinsic
5,45,3,106,140,12,852,106,intrinsic
6,45,3,155,150,12,1350,150,intrinsic
7,45,3,233,150,12,1350,150,intrinsic
8,45,3,12,200,12,-456,12,intrinsic
9,45,3,167,150,12,1350,150,intrinsic
10,45,3,146,150,12,1302,146,intrinsic
11,45,3,87,220,12,384,87,intrinsic
12,45,3,180,100,12,900,100,intrinsic
13,45,3,188,150,12,1350,150,intrinsic
14,45,3,77,150,12,474,77,intrinsic
15,45,3,80,150,12,510,80,intrinsic
16,45,9,210,150,12,450,150,intrinsic
17,45,9,157,150,12,450,150,intrinsic
18,45,9,172,150,12,450,150,intrinsic
19,45,9,80,150,12,-390,80,intrinsic
20,45,9,82,200,12,-816,82,intrinsic
21,45,9,236,150,12,450,150,intrinsic
22,45,9,2,150,12,-1326,2,intrinsic
23,45,9,233,150,12,450,150,intrinsic
24,45,9,244,150,12,450,150,intrinsic
25,45,9,208,150,12,450,150,intrinsic
26,45,9,9,150,12,-1242,9,intrinsic
27,45,9,122,170,12,-66,122,intrinsic
28,45,9,252,150,12,450,150,intrinsic
29,45,9,240,150,12,450,150,intrinsic
30,45,9,107,180,12,-336,107,intrinsic
1,49,3,281,200,12,1800,200,intrinsic
2,49,3,260,150,12,1350,150,intrinsic
3,49,3,13,150,12,-294,13,intrinsic
4,49,3,275,220,12,1980,220,intrinsic
5,49,3,106,150,12,822,106,intrinsic
6,49,3,155,200,12,1260,155,intrinsic
7,49,3,233,175,12,1575,175,intrinsic
9,49,3,167,150,12,1350,150,intrinsic
10,49,3,146,180,12,1212,146,intrinsic
11,49,3,87,150,12,594,87,intrinsic
12,49,3,180,150,12,1350,150,intrinsic
13,49,3,188,150,12,1350,150,intrinsic
14,49,3,77,150,12,474,77,intrinsic
15,49,3,80,150,12,510,80,intrinsic
16,49,9,210,145,12,435,145,intrinsic
17,49,9,157,150,12,450,150,intrinsic
18,49,9,172,150,12,450,150,intrinsic
19,49,9,80,150,12,-390,80,intrinsic
20,49,9,82,150,12,-366,82,intrinsic
21,49,9,236,150,12,450,150,intrinsic
22,49,9,2,120,12,-1056,2,intrinsic
23,49,9,233,150,12,450,150,intrinsic
24,49,9,244,150,12,450,150,intrinsic
25,49,9,208,150,12,450,150,intrinsic
26,49,9,9,150,12,-1242,9,intrinsic
27,49,9,122,150,12,114,122,intrinsic
28,49,9,252,200,12,600,200,intrinsic
29,49,9,240,150,12,450,150,intrinsic
30,49,9,107,150,12,-66,107,intrinsic
1,58,3,281,150,12,1350,150,intrinsic
2,58,3,260,150,12,1350,150,intrinsic
3,58,3,13,150,12,-294,13,intrinsic
4,58,3,275,150,12,1350,150,intrinsic
5,58,3,106,200,12,672,106,intrinsic
6,58,3,155,180,12,1320,155,intrinsic
7,58,3,233,200,12,1800,200,intrinsic
8,58,3,12,150,12,-306,12,intrinsic
9,58,3,167,200,12,1404,167,intrinsic
10,58,3,146,150,12,1302,146,intrinsic
11,58,3,87,200,12,444,87,intrinsic
12,58,3,180,180,12,1620,180,intrinsic
13,58,3,188,150,12,1350,150,intrinsic
14,58,3,77,200,12,324,77,intrinsic
15,58,3,80,150,12,510,80,intrinsic
16,58,9,210,150,12,450,150,intrinsic
17,58,9,157,150,12,450,150,intrinsic
18,58,9,172,150,12,450,150,intrinsic
19,58,9,80,150,12,-390,80,intrinsic
20,58,9,82,150,12,-366,82,intrinsic
21,58,9,236,180,12,540,180,intrinsic
22,58,9,2,150,12,-1326,2,intrinsic
23,58,9,233,150,12,450,150,intrinsic
24,58,9,244,180,12,540,180,intrinsic
25,58,9,208,160,12,480,160,intrinsic
26,58,9,9,150,12,-1242,9,intrinsic
27,58,9,122,180,12,-156,122,intrinsic
28,58,9,252,150,12,450,150,intrinsic
29,58,9,240,200,12,600,200,intrinsic
30,58,9,107,150,12,-66,107,intrinsic
1,61,3,281,150,12,1350,150,intrinsic
2,61,3,260,150,12,1350,150,intrinsic
3,61,3,13,150,12,-294,13,intrinsic
4,61,3,275,150,12,1350,150,intrinsic
5,61,3,106,150,12,822,106,intrinsic
6,61,3,155,170,12,1350,155,intrinsic
7,61,3,233,150,12,1350,150,intrinsic
8,61,3,12,200,12,-456,12,intrinsic
9,61,3,167,150,12,1350,150,intrinsic
10,61,3,146,220,12,1092,146,intrinsic
11,61,3,87,150,12,594,87,intrinsic
12,61,3,180,150,12,1350,150,intrinsic
13,61,3,188,150,12,1350,150,intrinsic
14,61,3,77,200,12,324,77,intrinsic
15,61,3,80,200,12,360,80,intrinsic
16,61,9,210,150,12,450,150,intrinsic
17,61,9,157,180,12,264,157,intrinsic
18,61,9,172,150,12,450,150,intrinsic
19,61,9,80,150,12,-390,80,intrinsic
20,61,9,82,150,12,-366,82,intrinsic
21,61,9,236,150,12,450,150,intrinsic
22,61,9,2,140,12,-1236,2,intrinsic
23,61,9,233,150,12,450,150,intrinsic
24,61,9,244,180,12,540,180,intrinsic
25,61,9,208,150,12,450,150,intrinsic
26,61,9,9,200,12,-1692,9,intrinsic
27,61,9,122,150,12,114,122,intrinsic
28,61,9,252,180,12,540,180,intrinsic
29,61,9,240,150,12,450,150,intrinsic
30,61,9,107,150,12,-66,107,intrinsic
1,69,3,281,150,12,1350,150,intrinsic
2,69,3,260,150,12,1350,150,intrinsic
3,69,3,13,200,12,-444,13,intrinsic
4,69,3,275,150,12,1350,150,intrinsic
5,69,3,106,150,12,822,106,intrinsic
6,69,3,155,200,12,1260,155,intrinsic
7,69,3,233,180,12,1620,180,intrinsic
8,69,3,12,120,12,-216,12,intrinsic
9,69,3,167,150,12,1350,150,intrinsic
10,69,3,146,200,12,1152,146,intrinsic
11,69,3,87,150,12,594,87,intrinsic
12,69,3,180,150,12,1350,150,intrinsic
13,69,3,188,125,12,1125,125,intrinsic
14,69,3,77,200,12,324,77,intrinsic
15,69,3,80,200,12,360,80,intrinsic
16,69,9,210,150,12,450,150,intrinsic
17,69,9,157,150,12,450,150,intrinsic
18,69,9,172,150,12,450,150,intrinsic
19,69,9,80,150,12,-390,80,intrinsic
20,69,9,82,150,12,-366,82,intrinsic
21,69,9,236,150,12,450,150,intrinsic
22,69,9,2,120,12,-1056,2,intrinsic
23,69,9,233,150,12,450,150,intrinsic
24,69,9,244,150,12,450,150,intrinsic
25,69,9,208,150,12,450,150,intrinsic
26,69,9,9,150,12,-1242,9,intrinsic
27,69,9,122,150,12,114,122,intrinsic
28,69,9,252,150,12,450,150,intrinsic
29,69,9,240,120,12,360,120,intrinsic
30,69,9,107,150,12,-66,107,intrinsic
1,72,9,210,150,12,450,150,intrinsic
2,72,9,157,200,12,84,157,intrinsic
3,72,9,172,150,12,450,150,intrinsic
4,72,9,80,200,12,-840,80,intrinsic
5,72,9,82,200,12,-816,82,intrinsic
6,72,9,236,200,12,600,200,intrinsic
7,72,9,2,160,12,-1416,2,intrinsic
8,72,9,233,200,12,600,200,intrinsic
9,72,9,244,150,12,450,150,intrinsic
10,72,9,208,150,12,450,150,intrinsic
11,72,9,9,140,12,-1152,9,intrinsic
12,72,9,122,150,12,114,122,intrinsic
13,72,9,252,150,12,450,150,intrinsic
14,72,9,240,150,12,450,150,intrinsic
15,72,9,107,150,12,-66,107,intrinsic
16,72,3,281,200,12,1800,200,intrinsic
17,72,3,260,180,12,1620,180,intrinsic
18,72,3,13,200,12,-444,13,intrinsic
19,72,3,275,150,12,1350,150,intrinsic
20,72,3,106,150,12,822,106,intrinsic
21,72,3,155,150,12,1350,150,intrinsic
22,72,3,233,150,12,1350,150,intrinsic
23,72,3,12,150,12,-306,12,intrinsic
24,72,3,167,150,12,1350,150,intrinsic
25,72,3,146,120,12,1080,120,intrinsic
26,72,3,87,150,12,594,87,intrinsic
27,72,3,180,180,12,1620,180,intrinsic
28,72,3,188,150,12,1350,150,intrinsic
29,72,3,77,150,12,474,77,intrinsic
30,72,3,80,150,12,510,80,intrinsic
1,73,9,210,150,12,450,150,intrinsic
2,73,9,157,150,12,450,150,intrinsic
3,73,9,172,150,12,450,150,intrinsic
4,73,9,80,150,12,-390,80,intrinsic
5,73,9,82,150,12,-366,82,intrinsic
6,73,9,236,200,12,600,200,intrinsic
7,73,9,2,145,12,-1281,2,intrinsic
8,73,9,233,175,12,525,175,intrinsic
9,73,9,244,150,12,450,150,intrinsic
10,73,9,208,150,12,450,150,intrinsic
11,73,9,9,150,12,-1242,9,intrinsic
12,73,9,122,150,12,114,122,intrinsic
13,73,9,252,150,12,450,150,intrinsic
14,73,9,240,170,12,510,170,intrinsic
15,73,9,107,150,12,-66,107,intrinsic
16,73,3,281,150,12,1350,150,intrinsic
17,73,3,260,150,12,1350,150,intrinsic
18,73,3,13,180,12,-384,13,intrinsic
19,73,3,275,150,12,1350,150,intrinsic
20,73,3,106,180,12,732,106,intrinsic
21,73,3,155,150,12,1350,150,intrinsic
22,73,3,233,150,12,1350,150,intrinsic
